"","target_child_id","stem","tokens"
"1",1754,"bite",6
"2",1754,"bump",5
"3",1754,"buy",5
"4",1754,"check",1
"5",1754,"hold",1
"6",1754,"lick",2
"7",1754,"pull",1
"8",1754,"punch",1
"9",1754,"push",2
"10",1754,"tie",2
"11",1999,"buy",3
"12",1999,"celebrate",1
"13",1999,"check",1
"14",1999,"cover",2
"15",1999,"drop",4
"16",1999,"hold",25
"17",1999,"invite",1
"18",1999,"kick",7
"19",1999,"pull",4
"20",1999,"push",1
"21",1999,"sell",2
"22",1999,"teach",3
"23",1999,"tie",1
"24",2006,"drop",2
"25",2006,"hold",4
"26",2006,"kick",13
"27",2006,"pull",5
"28",2006,"punch",2
"29",2007,"bite",1
"30",2007,"bump",1
"31",2007,"buy",27
"32",2007,"check",2
"33",2007,"cover",1
"34",2007,"drop",8
"35",2007,"hold",24
"36",2007,"kick",14
"37",2007,"lick",3
"38",2007,"pull",9
"39",2007,"push",9
"40",2007,"teach",2
"41",2007,"tickle",1
"42",2007,"tie",25
"43",2020,"bite",1
"44",2020,"buy",2
"45",2020,"drop",3
"46",2020,"pull",4
"47",2020,"teach",2
"48",2020,"tie",1
"49",2040,"attack",2
"50",2040,"buy",2
"51",2040,"cover",3
"52",2040,"drop",2
"53",2040,"hold",9
"54",2040,"kick",1
"55",2040,"pull",3
"56",2040,"push",2
"57",2040,"teach",1
"58",2040,"tickle",2
"59",2040,"tie",1
"60",2053,"buy",5
"61",2053,"check",2
"62",2053,"hold",14
"63",2053,"kick",4
"64",2053,"pull",4
"65",2053,"push",2
"66",2053,"teach",4
"67",2053,"tie",5
"68",2065,"bite",3
"69",2065,"bump",1
"70",2065,"buy",2
"71",2065,"check",3
"72",2065,"drop",5
"73",2065,"hold",1
"74",2065,"kick",5
"75",2065,"pull",1
"76",2065,"punch",1
"77",2065,"push",8
"78",2065,"tickle",1
"79",2077,"bite",4
"80",2077,"cover",2
"81",2077,"drop",1
"82",2077,"hold",5
"83",2077,"pull",1
"84",2077,"push",1
"85",2091,"bite",1
"86",2091,"buy",7
"87",2091,"check",1
"88",2091,"drop",1
"89",2091,"hold",5
"90",2091,"pull",1
"91",2091,"push",2
"92",2091,"tie",1
"93",2108,"bite",2
"94",2108,"bump",1
"95",2108,"buy",1
"96",2108,"check",1
"97",2108,"drop",1
"98",2108,"hold",3
"99",2108,"lick",1
"100",2108,"push",1
"101",2108,"tie",1
"102",2112,"hold",3
"103",2112,"kick",1
"104",2112,"pull",1
"105",2112,"push",3
"106",2112,"tie",4
"107",2127,"buy",5
"108",2127,"hold",4
"109",2127,"pull",2
"110",2127,"punch",1
"111",2130,"bite",1
"112",2130,"hold",7
"113",2130,"kick",1
"114",2130,"push",2
"115",2141,"bite",1
"116",2141,"buy",5
"117",2141,"check",3
"118",2141,"cover",1
"119",2141,"drop",4
"120",2141,"hold",4
"121",2141,"lick",1
"122",2141,"pull",4
"123",2141,"tie",1
"124",2172,"buy",18
"125",2172,"drop",4
"126",2172,"hold",3
"127",2172,"pull",1
"128",2172,"punch",1
"129",2172,"teach",1
"130",2187,"buy",5
"131",2187,"check",1
"132",2187,"drop",1
"133",2187,"pull",7
"134",2187,"push",4
"135",2187,"tie",4
"136",2202,"bite",11
"137",2202,"bump",2
"138",2202,"buy",11
"139",2202,"check",9
"140",2202,"drop",1
"141",2202,"hold",2
"142",2202,"kick",8
"143",2202,"lick",1
"144",2202,"pull",4
"145",2202,"punch",2
"146",2202,"push",6
"147",2202,"sell",1
"148",2202,"tie",4
"149",2220,"bite",1
"150",2220,"buy",2
"151",2220,"drop",2
"152",2220,"hold",6
"153",2220,"kick",5
"154",2220,"pull",5
"155",2220,"punch",4
"156",2220,"push",4
"157",2234,"bump",1
"158",2234,"buy",4
"159",2234,"cover",1
"160",2234,"drop",1
"161",2234,"hold",8
"162",2234,"kick",1
"163",2234,"pull",4
"164",2234,"punch",2
"165",2234,"push",2
"166",2234,"tickle",1
"167",2234,"tie",3
"168",2249,"drop",1
"169",2249,"hold",8
"170",2249,"pull",2
"171",2249,"punch",1
"172",2249,"tie",1
"173",2264,"buy",1
"174",2264,"hold",6
"175",2264,"lick",2
"176",2264,"pull",1
"177",2264,"push",1
"178",2264,"teach",3
"179",2264,"tie",1
"180",2279,"bump",3
"181",2279,"buy",4
"182",2279,"check",1
"183",2279,"hold",2
"184",2279,"pull",8
"185",2279,"push",9
"186",2279,"sell",1
"187",2279,"tap",2
"188",2291,"bite",4
"189",2291,"bump",1
"190",2291,"buy",11
"191",2291,"check",4
"192",2291,"choose",2
"193",2291,"cover",4
"194",2291,"hold",10
"195",2291,"knot",1
"196",2291,"lick",1
"197",2291,"pull",4
"198",2291,"push",4
"199",2291,"tickle",3
"200",2291,"tie",1
"201",2302,"bite",2
"202",2302,"buy",4
"203",2302,"choose",1
"204",2302,"hold",4
"205",2302,"pet",2
"206",2302,"pull",2
"207",2302,"push",2
"208",2302,"teach",3
"209",2302,"tie",1
"210",2315,"buy",2
"211",2315,"drop",4
"212",2315,"hold",8
"213",2315,"lick",2
"214",2315,"pet",1
"215",2315,"pull",2
"216",2315,"push",4
"217",2315,"tickle",12
"218",2315,"tie",1
"219",2316,"bite",6
"220",2316,"buy",10
"221",2316,"choose",3
"222",2316,"cover",1
"223",2316,"drop",3
"224",2316,"hold",4
"225",2316,"kick",4
"226",2316,"lick",2
"227",2316,"pet",1
"228",2316,"pull",5
"229",2316,"push",2
"230",2316,"tickle",1
"231",2316,"tie",1
"232",2317,"bite",2
"233",2317,"bump",1
"234",2317,"buy",4
"235",2317,"choose",1
"236",2317,"drop",2
"237",2317,"hold",1
"238",2317,"kick",1
"239",2317,"pull",1
"240",2317,"punch",2
"241",2317,"tickle",1
"242",2317,"tie",3
"243",2319,"buy",12
"244",2319,"check",2
"245",2319,"cover",1
"246",2319,"drop",2
"247",2319,"hold",1
"248",2319,"kick",2
"249",2319,"lick",1
"250",2319,"pull",2
"251",2319,"sell",1
"252",2319,"tap",1
"253",2319,"teach",1
"254",2319,"tickle",1
"255",2319,"tie",1
"256",2328,"bite",4
"257",2328,"buy",5
"258",2328,"drop",2
"259",2328,"hold",4
"260",2328,"lick",1
"261",2328,"pull",1
"262",2328,"tie",1
"263",2377,"buy",9
"264",2377,"check",1
"265",2377,"choose",1
"266",2377,"cover",1
"267",2377,"drop",3
"268",2377,"kick",2
"269",2377,"pull",4
"270",2377,"punch",3
"271",2377,"push",1
"272",2377,"teach",1
"273",2399,"bite",1
"274",2399,"buy",7
"275",2399,"drop",2
"276",2399,"hold",6
"277",2399,"invite",3
"278",2399,"kick",9
"279",2399,"pull",6
"280",2399,"punch",1
"281",2399,"tie",1
"282",2400,"bite",3
"283",2400,"bump",1
"284",2400,"buy",4
"285",2400,"drop",3
"286",2400,"hold",6
"287",2400,"kick",2
"288",2400,"lick",1
"289",2400,"pull",3
"290",2400,"punch",1
"291",2400,"tie",2
"292",2402,"bite",4
"293",2402,"buy",11
"294",2402,"cover",1
"295",2402,"hold",7
"296",2402,"kick",3
"297",2402,"pull",2
"298",2402,"push",8
"299",2402,"teach",3
"300",2405,"bite",4
"301",2405,"buy",6
"302",2405,"drop",2
"303",2405,"kick",3
"304",2405,"pull",4
"305",2405,"push",2
"306",2489,"drop",1
"307",2512,"pull",1
"308",2564,"buy",3
"309",2564,"drop",1
"310",2568,"buy",1
"311",2568,"hold",1
"312",2575,"buy",3
"313",2575,"check",1
"314",2575,"hold",2
"315",2575,"kick",1
"316",2582,"push",2
"317",2582,"teach",1
"318",2591,"bite",1
"319",2591,"bump",1
"320",2591,"buy",21
"321",2591,"hold",1
"322",2591,"kick",1
"323",2597,"buy",2
"324",2597,"hold",1
"325",2597,"sell",1
"326",2622,"hold",2
"327",2622,"push",1
"328",2622,"sell",1
"329",2622,"tap",1
"330",2622,"tie",1
"331",2632,"buy",8
"332",2632,"check",1
"333",2632,"hold",4
"334",2643,"bite",1
"335",2643,"buy",2
"336",2643,"hold",3
"337",2643,"invite",1
"338",2787,"drop",1
"339",2865,"hold",1
"340",3459,"punch",1
"341",3459,"push",1
"342",3468,"push",2
"343",4019,"buy",2
"344",4019,"choose",2
"345",4019,"hold",1
"346",5503,"bite",1
"347",5503,"hold",1
"348",5516,"hold",1
"349",5516,"lick",2
