stem,form
bump,bump
bump,bumped
bump,bumping
bump,bumps
tap,tap
tap,tapped
tap,tapping
hold,hold
hold,held
hold,holding
punch,punch
punch,punched
punch,punching
kick,kick
kick,kicked
kick,kicking
attack,attack
attack,attacked
attack,attacking
choose,choose
choose,chose
choose,choosing
choose,chosen
choose,chooses
check,check
check,checked
check,checking
check,checks
lick,lick
lick,licked
lick,licking
lick,licks
bite,bite
bite,bit
bite,biting
bite,bitten
bite,bites
teach,teach
teach,taught
teach,teaching
teach,teaches
greet,greet
greet,greeted
greet,greeting
greet,greets
celebrate,celebrate
celebrate,celebrated
celebrate,celebrating
celebrate,celebrates
invite,invite
invite,invited
invite,inviting
invite,invites
adopt,adopt
adopt,adopted
adopt,adopting
adopt,adopts
cover,cover
cover,covered
cover,covering
cover,covers
insert,insert
insert,inserted
insert,inserting
insert,inserts
knot,knot
knot,knotted
knot,knotting
knot,knots
tie,tie
tie,tied
tie,tying
tie,ties
drop,drop
drop,dropped
drop,dropping
drop,drops
stroke,stroke
stroke,stroked
stroke,stroking
stroke,strokes
pet,pet
pet,petted
pet,petting
pet,pets
tickle,tickle
tickle,tickled
tickle,tickling
tickle,tickles
push,push
push,pushed
push,pushing
push,pushes
sell,sell
sell,sold
sell,selling
sell,sells
buy,buy
buy,bought
buy,buying
buy,buys
pull,pull
pull,pulled
pull,pulling
pull,pulls
