"","stem","form"
"1","same","same"
"2","hug","hugs"
"3","hug","hugged"
"4","agree","agree"
"5","agree","agreed"
"6","agree","agreeing"
"7","friend","friend"
"8","friend","friends"
"9","friend","friended"
"10","marry","marry"
"11","marry","marries"
"12","connect","connecting"
"13","equal","equal"
"14","equal","equaling"
"15","equal","equaled"
"16","equal","equals"
"17","disagree","disagree"
"18","disagree","disagreed"
"19","disagree","disagreeing"
"20","touch","touches"
"21","similar","similar"
"22","trade","trading"
"23","trade","trades"
"24","trade","traded"
"25","match","matching"
"26","argue","argue"
"27","argue","argued"
"28","argue","argues"
"29","chat","chat"
"30","chat","chatting"
"31","chat","chats"
"32","chat","chatted"
"33","fight","fights"
"34","combine","combine"
"35","combine","combining"
"36","combine","combines"
"37","combine","combined"
"38","compete","compete"
"39","compete","competing"
"40","compete","competes"
"41","compete","competed"
"42","differ","differ"
"43","differ","differed"
"44","differ","differs"
"45","differ","differing"
"46","separate","separated"
"47","separate","separates"
"48","separate","separating"
"49","meet","meets"
"50","split","splitting"
"51","split","splits"
"52","attach","attaching"
"53","attach","attaches"
"54","join","joins"
"55","join","joined"
"56","join","joining"
